,Unnamed: 0,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,keyword
0,0,"['principal', 'ux', 'designer', 'physical', 'product']",$159K-$299K (Glassdoor est.),"At Sonos we want to create the ultimate listening experience for our customers and know that it starts by listening to each other. As part of the Sonos team, youll collaborate with people of all styles, skill sets, and backgrounds to realize our vision while fostering a community where everyone feels included and empowered to do to the best work of their lives.

Sonos is looking for a Principal UX Designer to join our Core Platform UX team. In this role, you will work as a critical part of the team that delivers a secure, connected and immersive sound platform to enable innovative listening experiences on Sonos Hardware. Driving and executing against the roadmap and company strategy, you will work closely with partners across hardware and software to bring new products and sound experiences to market.* Embrace the system: Go deep to understand the technical landscape of the Sonos system and identify opportunities to deliver the best experience possible in leveraging and extending the Sonos platform while aligning with critical strategic objectives.
Partner and organize: Partner within UX and across hardware and software disciplines to identify what work should be done when and why; supporting existing processes in place, adapting to the needs of a particular program, and innovating on new ways for all of us to work more effectively and achieve great outcomes.
Lead: As a senior member of the team, you will lead by example when it comes to collaboration, organization, innovation and connecting the dots between a single program and the broader Sonos experience. Your experience will position you to lead large, complex programs which may or may not have other UX designers involved in the day to day. You have the ability to drive a complex program on your own, and the experience to lead other designers when the opportunity exists.
You will engage early and upstream in program incubations, where you will navigate program and experience ambiguity to identify critical experience opportunities and craft a vision for the path forward. You will be able to articulate, visualize, and share this experience vision with program and company leaders.
You will work creatively and collaboratively in honing the vision and detail for product experiences, identifying solutions that embrace the complexity that exists at the intersection of hardware and software. You will experiment, prototype, test and refine ideas that support that vision and the broader experience goals of Sonos.
You will embrace and drive all of the nitty gritty details that are needed to bring a program and product experience to market and will be expected to partner across a wide set of teams in hardware and software to make it happen.
As a senior member of the team, you will contribute meaningfully to the culture of UX at Sonos, bringing experience, inspiration, and invigoration to a team that is in the business of doing big things.* You have designed, shipped, and matured complex product experiences that are both pleasurable and easy to use
You have experience owning large, complex, and often specialized projects
Bachelors degree in a related discipline, such as user experience design, industrial design, HCI, user interface design, graphic design
12+ years of experience in user experience design, preferably with at least some in the IoT or software for hardware space
Deep experience working with software engineers in the Agile process and delivering the detailed specification work needed for complex experiences that balance technical limitations and experience opportunities
Experience and appetite to engage with the tools needed to get the job done, including Figma, Sketch, Zeplin, Abstract, Framer, Flinto, JIRA and Confluence.
Appetite for finding new ways to prototype hardware and software experiences to get at the crux of key problems, mitigate risk, and identify the best experience possible early within a program.
A current portfolio available for viewing demonstrating the detailed work needed to ship products.",4.1,"Sonos, Inc.
4.1","San Francisco, CA",-1,1001 to 5000 Employees,2002,Company - Public,Consumer Products Manufacturing,Manufacturing,$500 million to $1 billion (USD),-1,"ux,designer"
1,1,"['ux', 'ui', 'designer']",$159K-$299K (Glassdoor est.),"#TeamNextdoor


Nextdoor is the neighborhood hub for you, your neighbors and the broader local community. Nextdoor's purpose is to cultivate a kinder world where everyone has a neighborhood they can rely on.

Building connections in the real world is a universal human need. That truth, and the reality that neighborhoods are one of the most important and useful communities in our lives have been guiding principles for Nextdoor. Today, neighbors rely on Nextdoor in neighborhoods around the world in the United States, the United Kingdom, Germany, France, the Netherlands, Italy, Spain, Sweden, Denmark, Australia and Canada, with many more to come.

Meet your Future Neighbors


As a Design Lead at Nextdoor, you'll design digital experiences that empower neighbors to build stronger communities, manage a small team and transform how people connect and engage with their local area. In this role, you'll define and deliver new experiences across multiple platforms as well as work cross-functionally to shape the future of the Nextdoor product as we continue to grow.

The Impact You'll Make


We are in the midst of a redesign, and you will have the opportunity to partner and lead the team responsible for changing the tone and tenor of conversations on Nextdoor. If you're civically minded, curious about community design, want the challenge of fast-paced growth, the satisfaction of seeing your design work come to life, and the pride in helping grow a world-class design team, this is the place for you. Please include a link to your portfolio in addition to your resume and cover letter.
You'll envision, design, and ship delightful, user-centered, cross-platform experiences that build the fabric of local communities around the globe.
You'll be involved in all aspects of the product development for a major product area; from strategy, research, prototyping, concept to interaction design, to final QA and code tweaks right before launch.
You'll participate in cross-functional brainstorms, discussions, design reviews and interesting and inspiring design team activities.
What You'll Bring to The House
8-10 years demonstrated experience shipping great mobile products in an agile environment.
3 years demonstrated experience leading and managing teams
Comfort working across the product development spectrum: strategy, ideation, concept work, pixel-level details, and front-end development and implementation.
Fluency with both mobile and responsive web design principles and best practices.
A strong visual design sense and ability to design within, and help define, visual guidelines.
Ability to create rich interactive prototypes with Framer, Origami, or Principle
Familiarity with HTML, CSS, JavaScript, Swift, Java, or Xcode
You're deeply curious about how to empower neighbors to strengthen their communities, and about what makes neighborhoods tick around the globe as we expand our footprint.
BONUS: liberal arts degree and prior experience in urban design
At Nextdoor, we empower our employees to build stronger local communities. To create a platform where all feel welcome, we want our workforce to reflect the diversity of the customers we seek to serve. We encourage everyone interested in our purpose to apply. We do not discriminate on the basis of race, gender, religion, sexual orientation, age, or any other trait that unfairly targets a group of people. In accordance with the San Francisco Fair Chance Ordinance, we always consider qualified applicants with arrest and conviction records.",4.1,"Nextdoor
4.1","San Francisco, CA",-1,201 to 500 Employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,"ux,designer"
2,2,"['ui', 'ux', 'architect', 'designer']",$159K-$299K (Glassdoor est.),"Description: *
SPODIO is a data-driven sports content provider that develops sportsbook, fantasy sports, and match prediction products. We are currently looking for an experienced UX Architect to fill an urgent role in our San Francisco office. This will be a key role within our newly formed Design Team that will partner closely with fellow subject matter experts to fully reimagine the company’s flagship sportsbook offering. You will be responsible for every aspect of the user experience - the overall flow of the screens, the fields and what information is presented, the actions and interactions that are provided, and the visualizations of the data. In addition, you will identify new opportunities, create and test your design concepts, and ultimately deliver a best-of-breed product to market. If this sounds interesting and you have a deep passion for sports, we would love to hear from you.

Responsibilities:
Work closely with Product Managers and others to define product requirement and specifications for proposed web and mobile initiatives.
Create wireframes, storyboards, and user flows that promote usability and accommodating technical needs in addition to potential source code constraints.
Relentlessly simplify and distill complex processes into intuitive and elegant UIs.
Translate functional objectives into detailed specifications.
Develop personas to facilitate feature design process.
Lead cross-functional design sessions between the Design Team and Business Partners.
Collaborate and share your expertise with other Designers, Product Managers, Engineers, and stakeholders alike.
Qualifications:
A Bachelor’s degree in a design related field or working experience of the equivalent.
5+ years of design experience with an in-depth understanding of fantasy sports, sportsbook, trading, stock, or financial products.
A portfolio of work that demonstrates your ability to create effective user-centered design solutions.
Experience designing native applications for both iOS and android.
Working knowledge of industry standard design software (i.e Sketch, Figma, Adobe CS, Invision, or other UX related tools).
Knowledge of latest UX trends, techniques, and technology.
Keen and exceptional attention to detail with the ability to work both autonomously and as part of a team.
Excellent verbal and written communication skills, with able to clearly articulate your design methodology clearly and persuasively across different audiences and varying levels of the organization
Bilingual in Korean and English preferred, but not mandatory.
Compensation & Benefits:
Competitive salary
Health Insurance for you and your dependents
401(k) retirement plan with company matching up to 4% of employee salary.
Flexible PTO, sick days, and parental leave.
Free drinks and snacks.
MacBook or iMac
Job Type: Full-time

Pay: $120,000.00 - $130,000.00 per year

Benefits:
401(k)
Dental Insurance
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Location:
San Francisco, CA 94105 (Required)
Work authorization:
United States (Required)
Work Location:
One location
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Innovative -- innovative and risk-taking
Outcome-oriented -- results-focused with strong performance culture
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Work Remotely:
Temporarily due to COVID-19",-1.0,Spodio Group,"San Francisco, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,"ux,designer"
3,8,"['freelance', 'ui', 'ux', 'designer']",$159K-$299K (Glassdoor est.),"SUMMARY OF POSITION

The UI/UX Designer is an integral member of the Creative Department (who collaborates closely with the Technology + Production teams), primarily responsible for crafting unique, captivating and intuitive visual designs for a variety of digital experiences and interfaces. The Visual UI/UXDesigner is a storyteller and problem solver who proposes creative solutions, drives the design phase and infuses innovative thinking into every stage of the creative process. The Visual UI/UX Designer will collaborate with cross-functional teams and external partners to bring fun and immersive digital experiential projects to life.

DESIRED SKILLS AND EXPERIENCE

EDUCATION
Bachelor's Degree in Graphic Design, UI/ UX design, Product Design, or similar discipline.
EXPERIENCE
4-10 years of experience as a UI/UX Designer, interaction designer, or similar role
Strong portfolio of creative work to demonstrate design for digital applications, mobile/web or interactive design work.
ESSENTIAL KNOWLEDGE, SKILLS AND ABILITIES
Expertise in Adobe CC (Photoshop, Illustrator, InDesign, etc.), proficiency required.
Experience in design prototyping tools (Adobe XD, Sketch, Figma, etc.)
Experience designing responsive websites, apps and digital products.
Experience designing for various platforms (mobile, web, broadcast, VR/AR, touchscreen, etc.).
Working knowledge of HTML, CSS, JavaScript is preferred, but not required.
Ability to communicate digital solutions and user journeys to a variety of audiences (internal, client, vendor, etc.) to ensure understanding and buy in.
Ability to collaborate and contribute to client deliverables including working in collaborative decks with the project team (Google Slides, Keynote, Powerpoint, etc.).
Experience providing art direction to graphic + motion designers that helps elevate the work.
Excellent communication + presentation skills that continuously add value to internal and external conversations, vendor relationships and pitches.",3.6,"On Board Entertainmet
3.6","San Francisco, CA",-1,51 to 200 Employees,1995,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),-1,"ux,designer"
4,9,"['jr', 'ux', 'designer']",$159K-$299K (Glassdoor est.),"WHO WE ARE:

Founded in 2012, BirdEye is headquartered in Silicon Valley and led by alumni from Google, Amazon, and Yahoo. In 2019, BirdEye was ranked #1 in Online Reputation Management and #60 in the “100 Best Software Companies” in the world by G2 Crowd. BirdEye is backed by Salesforce founder Marc Benioff, Yahoo co-founder Jerry Yang, Trinity Ventures and World Innovation Lab.

BirdEye is the leading customer experience management and business reputation platform, reimagining the way reviews are used to better understand customers, improve operations and increase revenue. With BirdEye, companies can put customers at the core of every business decision, turning feedback into insights, insights into action, and customer happiness into revenue.

To learn more, please visit: https://birdeye.com

WHAT YOU’LL DO:

You will join a forward-thinking creative team who understands the pulse of current design trends. You will act as the user's advocate when developing creative solutions to complex workflows. ""Design"" and ""Customer delight"" is embedded in every step of our product cycle. BirdEye has a design first approach that brings consumer grade design and web scale engineering together to create amazing user experiences.Come join our exciting team as we redefine Customer Experience Management. Rapid iteration, collaboration, and passion is how we drive innovation within BirdEye.

Responsibilities
Collaborate daily with UX Designers, Product Managers and Engineers
Design and craft pixel-perfect interfaces with a high attention to detail
Create detailed UI specifications
Expand upon existing template designs, UI components, and style guidelines
Design with an awareness and understanding of browser sizes, device capabilities, and product functionality
Work closely with your developers to ensure your designs are built to your specifications
Requirements
BS in Human-Computer Interaction or related field or work experience as a designer
Body of design work demonstrating strong design process, and interaction and visual design skills
Experience with design tools like Sketch, Zeplin, Flinto, Principle, Marvel, InVision, etc.
Strong grasp of modern app design patterns
Impeccable attention to detail
A great attitude and desire to work in a team environment
Benefits

WHY YOU’LL JOIN US:

As relentless innovators, we make excellence a habit. We know that building beautiful things means shattering walls, so we’re bold, scrappy, and love a good challenge. We’re obsessed with our customers. We put their happiness at the center of every decision, and we view our customers’ weaknesses and successes as our own.

Working at BirdEye means being part of a tight-knit family that helps you succeed and loves to celebrate with you. We find strength in diversity and inclusion, so we strive to find different points of view and expect everyone to represent their authentic self at all times.

Benefits
A competitive salary
A rich benefits package including medical, dental, and vision
401(k) plan
Stocked kitchen complete with coffee, snacks, and catered lunch every Friday
Monthly team building activities
Abundant opportunities that come with a dynamic and fast-growing organization!",4.5,"BirdEye
4.5","Palo Alto, CA",-1,201 to 500 Employees,2012,Company - Private,Internet,Information Technology,$25 to $50 million (USD),-1,"ux,designer"
5,11,"['staff', 'ux', 'visual', 'designer']",$159K-$299K (Glassdoor est.),"About the Job:

Illumina Experience Design (XD) is seeking a talented UX Visual Designer to join our growing team of user experience designers as we build best-in-class customer experiences across all Illumina software offerings. You will have the opportunity to blend business strategy and creative design to drive the future state of our product’s form and behavior in collaboration with the leadership team, design leads, and product teams. You will work alongside our brand team to translate the Illumina brand into the core product design experience enriching products through brand expression and a coherent experience across product touchpoints. You will own the creation of visually compelling UI screens, graphics, illustrations, design documentation and presentations to meet business needs and delight the audience.

All About You

Responsibilities:
Design and generate compelling visual concepts for digital UI, labeling, video storytelling, motion design and brand expression.
Design and style beautiful, useful, and usable icons.
Design attractive functional presentations, assets and slides that can wow the audience.
Collaborate closely with product designers, human factors specialists, user researchers, interaction designers, engineers, product managers and brand specialists to create compelling solutions that respond to unmet user needs.
Develop and organize detailed visual designs, written visual specifications with skill and efficacy for design project needs.
Communicate design ideas through strong ideation, sketching and illustrations skills.
Create beautiful visuals and design briefs to convey design solutions to leadership and product teams.
Bring a creative eye and craftsmanship in brand and communications design to the product teams.
Develop and deliver progress reports, requirements, documentation and presentations.
Demonstrate and promote the importance of good design and brand values.
Successfully advocate for appropriate design solutions across disciplines and stakeholders.
All listed tasks and responsibilities are deemed as essential functions to this position; however, business conditions may require reasonable accommodations for additional task and responsibilities.

Requirements:
Master of Arts in Multimedia, Experiential Graphic Design, Fine Arts or equivalent degree or professional experience.
7+ years of recent and relevant UX Visual Design experience.
Experience working at a design consultancy or agency is preferred
Demonstrated experience working across a variety of digital mediums from creating compelling UI screens for desktop, web, and mobile, to creating animations, videos, and presentations that bring innovative concepts to life.
Solid experience in video storytelling, icon and labeling design.
Proven experience and understanding of the value of color, typography, iconography and motion as it applies to digital product design.
Solid understanding of how to establish scale and contrast, balance and visual hierarchy across a design.
Experience designing for accessibility and familiarity with Section 508 and WCAG standards.
Advanced ideation skills, design thinking and a solution-based user experience perspective.
Fluency in an array of design and animation tools such as Sketch and Adobe Creative Suite.
Fluency in the human-centered design process from qualitative research and synthesis to ideation, prototyping, and implementation.
Design research experience and interaction design capabilities are a plus.
Knowledge of the product development process and ability to communicate well with engineering teams.
Excellent written and verbal communication skills.
Ability to present to the executive leadership team.
Background working for Medical devices, Life Science, or Healthcare Industries is a plus.
Must have a diverse portfolio that showcases a thoughtful creative process covering a range of mediums, UI design, icons and illustrations, labeling, video and motion design.
Illumina believes that everyone has the ability to make an impact, and we are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information.

Illumina believes that everyone has the ability to make an impact, and we are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. If you require accommodation to complete the application or interview process, please contact accommodations@illumina.com. To learn more, visit: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf",4.0,"Illumina, Inc.
4.0","Foster City, CA",-1,5001 to 10000 Employees,1998,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),-1,"ux,designer"
6,12,"['ux', 'designer']",$159K-$299K (Glassdoor est.),"We are seeking an outstanding UX Designer who excels in web design and in application of the design process. Candidates should have a clear understanding of the various phases of a design process, different design methods and when to apply them. For this position, majority of your time will be focused on hands-on interface design.

The ideal candidate will be expert at cross browser compatibility, responsive design, visual styling and be able to own a design from concept to final output. Candidate will be responsible for designing project specific UX solutions and developing simple, intuitive workflows and working on aesthetically pleasing visual styling.

This is a great time to join ON24 and the Design department here. We have exciting products that provide great value to our customers and there are key opportunities to enhance the UX and influence our design vision.

Role:
Participate in Design discussions, product roadmap strategy and identify Design process to be applied
Usability evaluation, ideation, wireframing, prototyping
Visual styling, (spec and icons/logo creation)
User studies
Qualification:
Bachelor’s degree in Design/HCI
Software: Sketch, Adobe Illustrator, Adobe Photoshop, etc.
Understanding of current web design trends, desktop/ tablet/ mobile website trends, responsive design
ON24 is proud to be an equal employment opportunities (EEO) workplace to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, ON24 complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Pursuant to the San Francisco Fair Chance Ordinance, ON24 will consider for employment qualified applicants with arrest and conviction records.",3.6,"ON24, Inc.
3.6","San Francisco, CA",-1,201 to 500 Employees,1998,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1,"ux,designer"
7,13,"['ui', 'ux', 'designer']",$159K-$299K (Glassdoor est.),"Enjoy working in a fast-paced environment delivering innovation that blends technology and services to help move careers forward? Randstad RiseSmart is hiring two UI/UX Designers to join our Product Development team. Join one of the worlds leading talent mobility firms as we invent the future of work and help make an impact on a persons life through their career transition.

This position will report to the Director of Product and will be based at our downtown San Jose, CA headquarters.

About The Job

The UI/UX Designer will work closely with product managers, engineers, internal operating teams and other designers to ensure our products are beautiful, functional and efficient. With a global footprint exceeding 80+ countries, the UI/UX Designer will be integral to the design of solutions that follow global best practice.

What You Will Do
Gather and evaluate user requirements in collaboration with developers, product managers and engineers to lead design projects from ideation to delivery
Identify and troubleshoot UX problems; conduct user testing and research efforts to obtain qualitative and quantitative data to inform product direction
Communicate designs through detailed wireframes, user flows, and prototypes
Develop and deliver beautiful, hi-fidelity visual design mockups and specs
Work cross-functionally with designers, engineers, product managers, and stakeholders
Collaborate with global teams, translation teams and web developers to assist in launching new regional sites; roll out updated website content affecting multiple geographies and languages
Skills You Will Need
5+ years of experience as a User Experience or Interaction Designer
Have a strong portfolio of work samples showcasing UX design work & process
Strong experience with end-to-end product design, from ideation development to the final product
Able to carry on usability studies & user research, analyze results, and present findings
Have cross-platform design experiences (Web, Android, iOS, emails)
Proficient in Sketch and prototyping tools
Familiar with HTML, CSS and JavaScript
Ability to receive (and deliver) constructive, knowledgeable, and accurate feedback in a team setting
Strong communication and inter-personal skills. Ability to work across teams with geographically remote team members
Motivated, independent self-starter with the ability to lean and adapt
Attention to detail (pixel perfect), organizational skills and focus on quality of work
Understanding Agile Methodologies would be preferred
About Randstad RiseSmart

At Randstad RiseSmart, were in the business of changing lives. With a lean and fast start-up mentality and the stability and backing of our multinational parent company, Randstad, Randstad RiseSmart has disrupted the outplacement industry and leads in technology-enabled career transition services. And, ultimately our results speak for themselves: we have received enormous industry recognition, including Gartners Most Innovative Company, the Nations Best and Brightest Companies to Work For, Fortunes 100 Best Companies for Women, and Deloitte Fast 500 recognized as one of North Americas fastest growing technology companies. To learn more, visit www.randstadrisesmart.com.

What's In It For You?
Competitive compensation, comprehensive health benefits, 401k (with match!), and stock purchase plan
Excellent work environment with an award-winning culture, Best Places to Work, Great Rated, Fortunes 100 Best Companies for Women, and check out our Glassdoor Rating of 4.0!
Opportunity to grow and contribute to Randstad RiseSmart's continued success in a highly visible role
Randstad RiseSmart is proud to be an equal opportunity employer.",4.4,"RiseSmart, Inc.
4.4","San Jose, CA",-1,201 to 500 Employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,"ux,designer"
8,15,"['ux', 'designer']",$159K-$299K (Glassdoor est.),"What makes us Epic?

At the core of Epic’s success are talented, passionate people. Epic prides itself on creating a collaborative, welcoming, and creative environment. Whether it’s building award-winning games or crafting engine technology that enables others to make visually stunning interactive experiences, we’re always innovating.

Being Epic means being a part of a team that continually strives to do right by our community and users. We’re constantly innovating to raise the bar of engine and game development.

Like what you hear? Come be a part of something Epic.

What you’ll do

Epic Games is looking for talented UX Designers, working across multiple projects such as Houseparty, Rocket League, and the Unreal Engine. In this position, you will have a role in designing features and UI screens by generating wireframes, documentation, and prototypes. You will then work with engineers and artists to ship these features to millions of users. The ideal candidate across the board would have expertise in user-centered design, an understanding of effective Game, Mobile, and Engine systems, as well as experience in game, mobile, or DCC UX/UI design.

In these roles, you will
Translate goals and constraints into compelling user-facing features
Creating wireframes, interactive prototypes, and documentation that clearly convey ideas
Present and pitch designs to product managers and developers
Work alongside engineers, artists, and UX researchers to develop features
Advocate for goals and UX problem resolution between teams
Work collaboratively across multiple teams to create consistency
What we’re looking for
Expert ability to create wireframes and prototypes
Skilled in Sketch, Axure, Indigo Studio, InVision, Figma or other prototyping and mockup tools
Familiar with Photoshop/Illustrator or other art tools
Strong knowledge of UX design processes
Excellent written and verbal communication skills
Ability to see features through to completion and rapidly modify design as information changes
Online portfolio demonstrating user-centered design solutions with strong visual direction and interaction design
You’re user-focused, passionate, scrappy, solutions-focused, and innovative. These traits equal success at Epic and influence everything we do
Team specific asks
Epic Social (Houseparty)
Successfully designed UI/UX features that were implemented into a top 100 mobile title
Demonstrated ability to implement UI widgets and features in a game engine
Understands the principles of game system design
Engine
Successfully designed UI features that were implemented for a digital content creation tool, or any tool that complements development for a game engine.
Psyonix/Rocket League
Understanding of AGILE (Specifically SCRUM) principles
Please submit your resume with a portfolio and we’ll be in touch soon!",3.7,"Epic Games
3.7","San Francisco, CA",-1,1001 to 5000 Employees,1991,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1,"ux,designer"
9,17,"['ui', 'ux', 'designer', 'entry', 'level', '-', 'pathrise', 'recruiting', 'partners']",$159K-$299K (Glassdoor est.),"What is Pathrise Recruiting Partners?

Pathrise Recruiting Partners connects top candidates to top employers. We use the same tactics and connections that we’ve used to place 300+ candidates to also bridge the connection between great candidates and top employers and recruitment firms. By applying to this position you gain access to a streamlined application process. This puts your resume right into the recruiting teams of our partners who are actively seeking candidates like you. To read more visit pathrise.com/pathrise-recruiting-partners

Job Description

Our partners are looking for entry level UI/UX Designers. These roles will often involve working directly with the user experience of a given company's existing core products as well as building and researching opportunities to launch new features. These opportunities are great for someone who is looking to build a foundation for a career in UI/UX Design and join a team that will support their future professional growth.

All jobs have a full remote option as well as in person.
What you'll do
Ideating, scoping, and prioritizing new product features that are high value
Working closely with growth to build optimal marketing and branding materials
Conducting user research to shape product roadmaps
Leveraging data to inform product enhancements and new features
Requirements
Passionate about education and career development
0-2 years experience developing in HTML/CSS and Javascript
0-2 years of experience in industry as a Product Designer or in a related field
Experience with user research
A strong portfolio that showcases strong design sense and frontend engineering
This role is part of our Pathrise Recruiting Partners program. Submitting this application will allow your profile to be reviewed by our network of hiring partners. To read more about how this all works as well as more information about our partners please visit pathrise.com/pathrise-recruiting-partners",4.9,"Pathrise
4.9","San Francisco, CA",-1,1 to 50 Employees,2017,Company - Private,Education Training Services,Education,$1 to $5 million (USD),-1,"ux,designer"
